rate_marriage,age,yrs_married,children,religious,educ,occupation,occupation_husb,affairs
3.0,32.0,9.0,3.0,fairly,some graduate school,occ2,husb_occ5,0.1111111
3.0,27.0,13.0,3.0,not,some college,occ3,husb_occ4,3.2307692
4.0,22.0,2.5,0.0,not,college,occ3,husb_occ5,1.3999996
4.0,37.0,16.5,4.0,fairly,college,occ5,husb_occ5,0.7272727
5.0,27.0,9.0,1.0,not,some college,occ3,husb_occ4,4.666666
4.0,27.0,9.0,0.0,midly,some college,occ3,husb_occ4,4.666666
5.0,37.0,23.0,5.5,midly,high school,occ5,husb_occ4,0.8521735
5.0,37.0,23.0,5.5,midly,high school,occ2,husb_occ3,1.826086
3.0,22.0,2.5,0.0,midly,high school,occ3,husb_occ3,4.7999992
3.0,27.0,6.0,0.0,not,college,occ3,husb_occ5,1.333333
2.0,27.0,6.0,2.0,not,college,occ3,husb_occ5,3.2666645
5.0,27.0,6.0,2.0,fairly,some college,occ3,husb_occ5,2.041666
3.0,37.0,16.5,5.5,not,high school,occ2,husb_occ3,0.4848484
5.0,27.0,6.0,0.0,midly,some college,occ3,husb_occ2,2.0
4.0,22.0,6.0,1.0,not,some college,occ4,husb_occ4,3.2666645
4.0,37.0,9.0,2.0,midly,some college,occ3,husb_occ6,1.3611107
4.0,27.0,6.0,1.0,not,high school,occ3,husb_occ5,2.0
1.0,37.0,23.0,5.5,strongly,some college,occ5,husb_occ2,1.826086
2.0,42.0,23.0,2.0,midly,advanced degree,occ4,husb_occ4,1.826086
4.0,37.0,6.0,0.0,midly,college,occ5,husb_occ4,2.041666
5.0,22.0,2.5,0.0,midly,some college,occ3,husb_occ4,7.8399963
3.0,37.0,16.5,5.5,midly,grade school,occ3,husb_occ2,2.545454
3.0,42.0,23.0,5.5,fairly,high school,occ5,husb_occ4,0.5326087
2.0,27.0,9.0,2.0,strongly,advanced degree,occ3,husb_occ4,0.6222222
4.0,27.0,6.0,1.0,midly,high school,occ5,husb_occ4,0.5833333
5.0,27.0,2.5,0.0,fairly,college,occ4,husb_occ1,4.7999992
2.0,27.0,6.0,2.0,midly,high school,occ2,husb_occ5,0.1666666
5.0,37.0,13.0,1.0,fairly,high school,occ3,husb_occ4,0.6153846
2.0,32.0,16.5,2.0,midly,high school,occ4,husb_occ2,1.1878777
3.0,27.0,6.0,1.0,not,some college,occ3,husb_occ6,11.1999989
3.0,32.0,16.5,4.0,fairly,some college,occ5,husb_occ5,1.1878777
3.0,27.0,9.0,2.0,not,some college,occ3,husb_occ4,2.1777763
3.0,37.0,16.5,3.0,fairly,some college,occ3,husb_occ2,0.4848484
4.0,32.0,16.5,5.5,strongly,high school,occ2,husb_occ4,0.7272727
5.0,42.0,16.5,4.0,fairly,college,occ4,husb_occ6,0.7272727
3.0,27.0,9.0,2.0,midly,high school,occ5,husb_occ2,1.333333
3.0,17.5,0.5,0.0,not,high school,occ3,husb_occ2,7.0
4.0,42.0,23.0,5.5,midly,advanced degree,occ3,husb_occ2,0.5217391
5.0,37.0,16.5,3.0,fairly,high school,occ3,husb_occ5,0.2121212
4.0,22.0,2.5,1.0,midly,some college,occ3,husb_occ5,0.4
4.0,27.0,2.5,0.0,midly,college,occ4,husb_occ1,1.3999996
4.0,22.0,2.5,0.0,midly,some college,occ3,husb_occ6,3.1999998
4.0,37.0,13.0,3.0,midly,college,occ4,husb_occ5,1.5076914
4.0,22.0,2.5,0.0,midly,college,occ3,husb_occ4,7.8399963
4.0,22.0,2.5,0.0,not,some college,occ1,husb_occ2,7.8399963
